"","var","var_label"
"67","Q23R1A2","B4b-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Trabajadores subcontrat"
"68","Q23R2A1","B4b-Capataces - Trabajadores contratados directamente"
"69","Q23R2A2","B4b-Capataces - Trabajadores subcontratados "
"70","Q23R3A1","B4b-Electrónicos, electromecánicos e instrumentistas - Trabajadores contratados directamente"
"71","Q23R3A2","B4b-Electrónicos, electromecánicos e instrumentistas - Trabajadores subcontratados "
"72","Q23R4A1","B4b-Laboratoristas - Trabajadores contratados directamente"
"73","Q23R4A2","B4b-Laboratoristas - Trabajadores subcontratados "
"74","Q23R5A1","B4b-Electricistas (técnicos y/o maestros) - Trabajadores contratados directamente"
"75","Q23R5A2","B4b-Electricistas (técnicos y/o maestros) - Trabajadores subcontratados "
"76","Q23R6A1","B4b-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Trabajadores contratados"
"77","Q23R6A2","B4b-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Trabajadores subcontrata"
"78","Q23R7A1","B4b-Operadores planta asfalto y de áridos - Trabajadores contratados directamente"
"79","Q23R7A2","B4b-Operadores planta asfalto y de áridos - Trabajadores subcontratados "
"80","Q23R8A1","B4b-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Trab"
"81","Q23R8A2","B4b-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Trab"
"82","Q23R9A1","B4b-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Trabajadores"
"83","Q23R9A2","B4b-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Trabajadores"
"84","Q23R10A1","B4b-Trazadores - Trabajadores contratados directamente"
"85","Q23R10A2","B4b-Trazadores - Trabajadores subcontratados "
"86","Q23R11A1","B4b-Mecánicos - Trabajadores contratados directamente"
"87","Q23R11A2","B4b-Mecánicos - Trabajadores subcontratados "
"88","Q23R12A1","B4b-Soldadores - Trabajadores contratados directamente"
"89","Q23R12A2","B4b-Soldadores - Trabajadores subcontratados "
"90","Q23R13A1","B4b-Enfierradores - Trabajadores contratados directamente"
"91","Q23R13A2","B4b-Enfierradores - Trabajadores subcontratados "
"92","Q23R14A1","B4b-Albañiles - Trabajadores contratados directamente"
"93","Q23R14A2","B4b-Albañiles - Trabajadores subcontratados "
"94","Q23R15A1","B4b-Concreteros - Trabajadores contratados directamente"
"95","Q23R15A2","B4b-Concreteros - Trabajadores subcontratados "
"96","Q23R16A1","B4b-Carpinteros - Trabajadores contratados directamente"
"97","Q23R16A2","B4b-Carpinteros - Trabajadores subcontratados "
"98","Q23R17A1","B4b-Pintores - Trabajadores contratados directamente"
"99","Q23R17A2","B4b-Pintores - Trabajadores subcontratados "
"100","Q23R18A1","B4b-Baldoseros y ceramistas - Trabajadores contratados directamente"
"101","Q23R18A2","B4b-Baldoseros y ceramistas - Trabajadores subcontratados "
"102","Q23R19A1","B4b-Tuberos y operadores de termofusión - Trabajadores contratados directamente"
"103","Q23R19A2","B4b-Tuberos y operadores de termofusión - Trabajadores subcontratados "
"104","Q23R20A1","B4b-Sanitarios y gásfiteres - Trabajadores contratados directamente"
"105","Q23R20A2","B4b-Sanitarios y gásfiteres - Trabajadores subcontratados "
"106","Q23R21A1","B4b-Instaladores de gas - Trabajadores contratados directamente"
"107","Q23R21A2","B4b-Instaladores de gas - Trabajadores subcontratados "
"108","Q23R22A1","B4b-Otros maestros de primera y segunda - Trabajadores contratados directamente"
"109","Q23R22A2","B4b-Otros maestros de primera y segunda - Trabajadores subcontratados "
"110","Q23R23A1","B4b-Buzos - Trabajadores contratados directamente"
"111","Q23R23A2","B4b-Buzos - Trabajadores subcontratados "
"112","Q23R24A1","B4b-Bodegueros y cardcheckers - Trabajadores contratados directamente"
"113","Q23R24A2","B4b-Bodegueros y cardcheckers - Trabajadores subcontratados "
"114","Q23R25A1","B4b-Jornales, ayudantes y señaleros - Trabajadores contratados directamente"
"115","Q23R25A2","B4b-Jornales, ayudantes y señaleros - Trabajadores subcontratados "
"116","Q24","B4c - En el listado anterior, ¿faltó algún puesto de trabajo importante para la construcción del proyecto? "
"117","Q25R1A1","B4d-Puesto 1 - Nombre del puesto de trabajo (lo más completo posible)"
"118","Q25R1A2","B4d-Puesto 1 - Principales tareas"
"119","Q25R1A3","B4d-Puesto 1 - Trabajadores contratados directamente"
"120","Q25R1A4","B4d-Puesto 1 - Trabajadores subcontratados "
"121","Q25R2A1","B4d-Puesto 2 - Nombre del puesto de trabajo (lo más completo posible)"
"122","Q25R2A2","B4d-Puesto 2 - Principales tareas"
"123","Q25R2A3","B4d-Puesto 2 - Trabajadores contratados directamente"
"124","Q25R2A4","B4d-Puesto 2 - Trabajadores subcontratados "
"125","Q25R3A1","B4d-Puesto 3 - Nombre del puesto de trabajo (lo más completo posible)"
"126","Q25R3A2","B4d-Puesto 3 - Principales tareas"
"127","Q25R3A3","B4d-Puesto 3 - Trabajadores contratados directamente"
"128","Q25R3A4","B4d-Puesto 3 - Trabajadores subcontratados "
"129","Q25R4A1","B4d-Puesto 4 - Nombre del puesto de trabajo (lo más completo posible)"
"130","Q25R4A2","B4d-Puesto 4 - Principales tareas"
"131","Q25R4A3","B4d-Puesto 4 - Trabajadores contratados directamente"
"132","Q25R4A4","B4d-Puesto 4 - Trabajadores subcontratados "
"133","Q25R5A1","B4d-Puesto 5 - Nombre del puesto de trabajo (lo más completo posible)"
"134","Q25R5A2","B4d-Puesto 5 - Principales tareas"
"135","Q25R5A3","B4d-Puesto 5 - Trabajadores contratados directamente"
"136","Q25R5A4","B4d-Puesto 5 - Trabajadores subcontratados "
"137","Q25R6A1","B4d-Puesto 6 - Nombre del puesto de trabajo (lo más completo posible)"
"138","Q25R6A2","B4d-Puesto 6 - Principales tareas"
"139","Q25R6A3","B4d-Puesto 6 - Trabajadores contratados directamente"
"140","Q25R6A4","B4d-Puesto 6 - Trabajadores subcontratados "
"141","Q26","B5a - ¿En qué año comenzaron las obras del proyecto?"
"142","Q27","B5b - ¿Y en qué mes? "
"143","Q28","B5c - Estado de avance (%)"
"144","Q29","B6a - ¿Y en qué año proyecta que van a concluir las obras de construcción que están a cargo de su empresa?"
"145","Q30","B6b - ¿Y en qué mes? "
"146","Q31R1A1","B7a-Trabajadores contratados directamente - Total"
"147","Q31R1A2","B7a-Trabajadores contratados directamente - Mujeres"
"148","Q31R1A3","B7a-Trabajadores contratados directamente - Jóvenes entre 18 y 24 años"
"149","Q31R2A1","B7a-Trabajadores subcontratados  - Total"
"150","Q31R2A2","B7a-Trabajadores subcontratados  - Mujeres"
"151","Q31R2A3","B7a-Trabajadores subcontratados  - Jóvenes entre 18 y 24 años"
"152","Q32","B7aa - En este proyecto u obra, ¿ocupan o emplean a personal extranjero no residente? Se entiende por personal extranjer"
"153","Q33R1A1","B7ab-Puesto 1 - Nombre del puesto de trabajo (lo más completo posible)"
"154","Q33R1A2","B7ab-Puesto 1 - Tareas del puesto"
"155","Q33R1A3","B7ab-Puesto 1 - Certificación requerida"
"156","Q33R1A4","B7ab-Puesto 1 - Número de personas en el puesto de trabajo"
"157","Q33R2A1","B7ab-Puesto 2 - Nombre del puesto de trabajo (lo más completo posible)"
"158","Q33R2A2","B7ab-Puesto 2 - Tareas del puesto"
"159","Q33R2A3","B7ab-Puesto 2 - Certificación requerida"
"160","Q33R2A4","B7ab-Puesto 2 - Número de personas en el puesto de trabajo"
"161","Q33R3A1","B7ab-Puesto 3 - Nombre del puesto de trabajo (lo más completo posible)"
"162","Q33R3A2","B7ab-Puesto 3 - Tareas del puesto"
"163","Q33R3A3","B7ab-Puesto 3 - Certificación requerida"
"164","Q33R3A4","B7ab-Puesto 3 - Número de personas en el puesto de trabajo"
"165","Q33R4A1","B7ab-Puesto 4 - Nombre del puesto de trabajo (lo más completo posible)"
"166","Q33R4A2","B7ab-Puesto 4 - Tareas del puesto"
"167","Q33R4A3","B7ab-Puesto 4 - Certificación requerida"
"168","Q33R4A4","B7ab-Puesto 4 - Número de personas en el puesto de trabajo"
"169","Q33R5A1","B7ab-Puesto 5 - Nombre del puesto de trabajo (lo más completo posible)"
"170","Q33R5A2","B7ab-Puesto 5 - Tareas del puesto"
"171","Q33R5A3","B7ab-Puesto 5 - Certificación requerida"
"172","Q33R5A4","B7ab-Puesto 5 - Número de personas en el puesto de trabajo"
"173","Q34R1","B7b - Demanda adicional de trabajadores contratados directamente"
"174","Q34R2","B7b - Demanda adicional de trabajadores subcontratados"
"175","Q35R1A1","B7c-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Trabajadores contratado"
"176","Q35R1A2","B7c-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Trabajadores subcontrat"
"177","Q35R1A3","B7c-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Demanda adicional próxi"
"178","Q35R1A4","B7c-Encargados de obra (administradores de obra, jefes de terreno, encargados de bodega, etc.) - Demanda adicional próxi"
"179","Q35R2A1","B7c-Capataces - Trabajadores contratados directamente"
"180","Q35R2A2","B7c-Capataces - Trabajadores subcontratados "
"181","Q35R2A3","B7c-Capataces - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"182","Q35R2A4","B7c-Capataces - Demanda adicional próximos 12 meses trabajadores subcontratados "
"183","Q35R3A1","B7c-Electrónicos, electromecánicos e instrumentistas - Trabajadores contratados directamente"
"184","Q35R3A2","B7c-Electrónicos, electromecánicos e instrumentistas - Trabajadores subcontratados "
"185","Q35R3A3","B7c-Electrónicos, electromecánicos e instrumentistas - Demanda adicional próximos 12 meses trabajadores contratados dire"
"186","Q35R3A4","B7c-Electrónicos, electromecánicos e instrumentistas - Demanda adicional próximos 12 meses trabajadores subcontratados "
"187","Q35R4A1","B7c-Laboratoristas - Trabajadores contratados directamente"
"188","Q35R4A2","B7c-Laboratoristas - Trabajadores subcontratados "
"189","Q35R4A3","B7c-Laboratoristas - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"190","Q35R4A4","B7c-Laboratoristas - Demanda adicional próximos 12 meses trabajadores subcontratados "
"191","Q35R5A1","B7c-Electricistas (técnicos y/o maestros) - Trabajadores contratados directamente"
"192","Q35R5A2","B7c-Electricistas (técnicos y/o maestros) - Trabajadores subcontratados "
"193","Q35R5A3","B7c-Electricistas (técnicos y/o maestros) - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"194","Q35R5A4","B7c-Electricistas (técnicos y/o maestros) - Demanda adicional próximos 12 meses trabajadores subcontratados "
"195","Q35R6A1","B7c-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Trabajadores contratados"
"196","Q35R6A2","B7c-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Trabajadores subcontrata"
"197","Q35R6A3","B7c-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Demanda adicional próxim"
"198","Q35R6A4","B7c-Ingenieros, prevencionistas, arqueólogos, ambientalistas u otros profesionales de la obra - Demanda adicional próxim"
"199","Q35R7A1","B7c-Operadores planta asfalto y de áridos - Trabajadores contratados directamente"
"200","Q35R7A2","B7c-Operadores planta asfalto y de áridos - Trabajadores subcontratados "
"201","Q35R7A3","B7c-Operadores planta asfalto y de áridos - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"202","Q35R7A4","B7c-Operadores planta asfalto y de áridos - Demanda adicional próximos 12 meses trabajadores subcontratados "
"203","Q35R8A1","B7c-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Trab"
"204","Q35R8A2","B7c-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Trab"
"205","Q35R8A3","B7c-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Dema"
"206","Q35R8A4","B7c-Operadores de maquinaria pesada (motoniveladora, retroexcavadora, rigger, camión tolva, grúa horquilla, etc.) - Dema"
"207","Q35R9A1","B7c-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Trabajadores"
"208","Q35R9A2","B7c-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Trabajadores"
"209","Q35R9A3","B7c-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Demanda adic"
"210","Q35R9A4","B7c-Operadores de maquinaria liviana (gravilladora autopropulsada, rodillo manual, martillo picador etc.) - Demanda adic"
"211","Q35R10A1","B7c-Trazadores - Trabajadores contratados directamente"
"212","Q35R10A2","B7c-Trazadores - Trabajadores subcontratados "
"213","Q35R10A3","B7c-Trazadores - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"214","Q35R10A4","B7c-Trazadores - Demanda adicional próximos 12 meses trabajadores subcontratados "
"215","Q35R11A1","B7c-Mecánicos - Trabajadores contratados directamente"
"216","Q35R11A2","B7c-Mecánicos - Trabajadores subcontratados "
"217","Q35R11A3","B7c-Mecánicos - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"218","Q35R11A4","B7c-Mecánicos - Demanda adicional próximos 12 meses trabajadores subcontratados "
"219","Q35R12A1","B7c-Soldadores - Trabajadores contratados directamente"
"220","Q35R12A2","B7c-Soldadores - Trabajadores subcontratados "
"221","Q35R12A3","B7c-Soldadores - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"222","Q35R12A4","B7c-Soldadores - Demanda adicional próximos 12 meses trabajadores subcontratados "
"223","Q35R13A1","B7c-Enfierradores - Trabajadores contratados directamente"
"224","Q35R13A2","B7c-Enfierradores - Trabajadores subcontratados "
"225","Q35R13A3","B7c-Enfierradores - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"226","Q35R13A4","B7c-Enfierradores - Demanda adicional próximos 12 meses trabajadores subcontratados "
"227","Q35R14A1","B7c-Albañiles - Trabajadores contratados directamente"
"228","Q35R14A2","B7c-Albañiles - Trabajadores subcontratados "
"229","Q35R14A3","B7c-Albañiles - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"230","Q35R14A4","B7c-Albañiles - Demanda adicional próximos 12 meses trabajadores subcontratados "
"231","Q35R15A1","B7c-Concreteros - Trabajadores contratados directamente"
"232","Q35R15A2","B7c-Concreteros - Trabajadores subcontratados "
"233","Q35R15A3","B7c-Concreteros - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"234","Q35R15A4","B7c-Concreteros - Demanda adicional próximos 12 meses trabajadores subcontratados "
"235","Q35R16A1","B7c-Carpinteros - Trabajadores contratados directamente"
"236","Q35R16A2","B7c-Carpinteros - Trabajadores subcontratados "
"237","Q35R16A3","B7c-Carpinteros - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"238","Q35R16A4","B7c-Carpinteros - Demanda adicional próximos 12 meses trabajadores subcontratados "
"239","Q35R17A1","B7c-Pintores - Trabajadores contratados directamente"
"240","Q35R17A2","B7c-Pintores - Trabajadores subcontratados "
"241","Q35R17A3","B7c-Pintores - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"242","Q35R17A4","B7c-Pintores - Demanda adicional próximos 12 meses trabajadores subcontratados "
"243","Q35R18A1","B7c-Baldoseros y ceramistas - Trabajadores contratados directamente"
"244","Q35R18A2","B7c-Baldoseros y ceramistas - Trabajadores subcontratados "
"245","Q35R18A3","B7c-Baldoseros y ceramistas - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"246","Q35R18A4","B7c-Baldoseros y ceramistas - Demanda adicional próximos 12 meses trabajadores subcontratados "
"247","Q35R19A1","B7c-Tuberos y operadores de termofusión - Trabajadores contratados directamente"
"248","Q35R19A2","B7c-Tuberos y operadores de termofusión - Trabajadores subcontratados "
"249","Q35R19A3","B7c-Tuberos y operadores de termofusión - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"250","Q35R19A4","B7c-Tuberos y operadores de termofusión - Demanda adicional próximos 12 meses trabajadores subcontratados "
"251","Q35R20A1","B7c-Sanitarios y gásfiteres - Trabajadores contratados directamente"
"252","Q35R20A2","B7c-Sanitarios y gásfiteres - Trabajadores subcontratados "
"253","Q35R20A3","B7c-Sanitarios y gásfiteres - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"254","Q35R20A4","B7c-Sanitarios y gásfiteres - Demanda adicional próximos 12 meses trabajadores subcontratados "
"255","Q35R21A1","B7c-Instaladores de gas - Trabajadores contratados directamente"
"256","Q35R21A2","B7c-Instaladores de gas - Trabajadores subcontratados "
"257","Q35R21A3","B7c-Instaladores de gas - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"258","Q35R21A4","B7c-Instaladores de gas - Demanda adicional próximos 12 meses trabajadores subcontratados "
"259","Q35R22A1","B7c-Otros maestros de primera y segunda - Trabajadores contratados directamente"
"260","Q35R22A2","B7c-Otros maestros de primera y segunda - Trabajadores subcontratados "
"261","Q35R22A3","B7c-Otros maestros de primera y segunda - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"262","Q35R22A4","B7c-Otros maestros de primera y segunda - Demanda adicional próximos 12 meses trabajadores subcontratados "
"263","Q35R23A1","B7c-Buzos - Trabajadores contratados directamente"
"264","Q35R23A2","B7c-Buzos - Trabajadores subcontratados "
"265","Q35R23A3","B7c-Buzos - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"266","Q35R23A4","B7c-Buzos - Demanda adicional próximos 12 meses trabajadores subcontratados "
"267","Q35R24A1","B7c-Bodegueros y cardcheckers - Trabajadores contratados directamente"
"268","Q35R24A2","B7c-Bodegueros y cardcheckers - Trabajadores subcontratados "
"269","Q35R24A3","B7c-Bodegueros y cardcheckers - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"270","Q35R24A4","B7c-Bodegueros y cardcheckers - Demanda adicional próximos 12 meses trabajadores subcontratados "
"271","Q35R25A1","B7c-Jornales, ayudantes y señaleros - Trabajadores contratados directamente"
"272","Q35R25A2","B7c-Jornales, ayudantes y señaleros - Trabajadores subcontratados "
"273","Q35R25A3","B7c-Jornales, ayudantes y señaleros - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"274","Q35R25A4","B7c-Jornales, ayudantes y señaleros - Demanda adicional próximos 12 meses trabajadores subcontratados "
"275","Q36","B7d - En el listado anterior, ¿faltó algún puesto de trabajo importante para la construcción del proyecto? "
"276","Q37R1A1","B7e-Puesto 1 - Nombre del puesto de trabajo (lo más completo posible)"
"277","Q37R1A2","B7e-Puesto 1 - Principales tareas"
"278","Q37R1A3","B7e-Puesto 1 - Número de trabajadores contratados directamente"
"279","Q37R1A4","B7e-Puesto 1 - Número de trabajadores subcontratados"
"280","Q37R1A5","B7e-Puesto 1 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"281","Q37R1A6","B7e-Puesto 1 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"282","Q37R2A1","B7e-Puesto 2 - Nombre del puesto de trabajo (lo más completo posible)"
"283","Q37R2A2","B7e-Puesto 2 - Principales tareas"
"284","Q37R2A3","B7e-Puesto 2 - Número de trabajadores contratados directamente"
"285","Q37R2A4","B7e-Puesto 2 - Número de trabajadores subcontratados"
"286","Q37R2A5","B7e-Puesto 2 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"287","Q37R2A6","B7e-Puesto 2 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"288","Q37R3A1","B7e-Puesto 3 - Nombre del puesto de trabajo (lo más completo posible)"
"289","Q37R3A2","B7e-Puesto 3 - Principales tareas"
"290","Q37R3A3","B7e-Puesto 3 - Número de trabajadores contratados directamente"
"291","Q37R3A4","B7e-Puesto 3 - Número de trabajadores subcontratados"
"292","Q37R3A5","B7e-Puesto 3 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"293","Q37R3A6","B7e-Puesto 3 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"294","Q37R4A1","B7e-Puesto 4 - Nombre del puesto de trabajo (lo más completo posible)"
"295","Q37R4A2","B7e-Puesto 4 - Principales tareas"
"296","Q37R4A3","B7e-Puesto 4 - Número de trabajadores contratados directamente"
"297","Q37R4A4","B7e-Puesto 4 - Número de trabajadores subcontratados"
"298","Q37R4A5","B7e-Puesto 4 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"299","Q37R4A6","B7e-Puesto 4 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"300","Q37R5A1","B7e-Puesto 5 - Nombre del puesto de trabajo (lo más completo posible)"
"301","Q37R5A2","B7e-Puesto 5 - Principales tareas"
"302","Q37R5A3","B7e-Puesto 5 - Número de trabajadores contratados directamente"
"303","Q37R5A4","B7e-Puesto 5 - Número de trabajadores subcontratados"
"304","Q37R5A5","B7e-Puesto 5 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"305","Q37R5A6","B7e-Puesto 5 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"306","Q37R6A1","B7e-Puesto 6 - Nombre del puesto de trabajo (lo más completo posible)"
"307","Q37R6A2","B7e-Puesto 6 - Principales tareas"
"308","Q37R6A3","B7e-Puesto 6 - Número de trabajadores contratados directamente"
"309","Q37R6A4","B7e-Puesto 6 - Número de trabajadores subcontratados"
"310","Q37R6A5","B7e-Puesto 6 - Demanda adicional próximos 12 meses trabajadores contratados directamente"
"311","Q37R6A6","B7e-Puesto 6 - Demanda adicional próximos 12 meses trabajadores subcontratados"
"312","Q38","C - El objetivo de esta sección es identificar las principales vacantes de puestos de trabajo que ha tenido su empresa e"
"313","Q39","C1 - Su empresa, ¿tiene experiencia en la región desarrollando proyectos u obras similares a este proyecto?"
"314","Q40","C2a - Y para el desarrollo de estas otras obras y proyectos en la región, ¿tuvo vacantes o contrató personal durante los"
"315","Q41","C2b - Su empresa, ¿tuvo vacantes o contrató personal nuevo durante los últimos 12 meses para la ejecución del proyecto u"
"316","Q42A1","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"317","Q42A2","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"318","Q42A3","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"319","Q42A4","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"320","Q42A5","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"321","Q42A6","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"322","Q42A7","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
"323","Q42A1D","C3-Indique si durante el proceso de búsqueda o selección tuvo alguna de las siguientes dificultades para llenar sus vaca"
